Product,Category,HA,A,SW,B,c,w,G,mf,NoColor,Available,d,L,Sl,ss,z,od,R,En,Lz,qty,order,demand,price,
SQ TUBE 1x1,ALUMINUM,0,9,9,0,0,0,0,0,0,18,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
SQ TUBE 1-1/4x1-1/4,ALUMINUM,2,0,0,0,0,0,0,0,0,2,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
SQ TUBE 1-1/2x1,ALUMINUM,5,8,4,0,0,0,0,0,0,17,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
SQ TUBE 1-3/4x1-3/4,ALUMINUM,2,0,0,0,0,0,0,0,0,2,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
RECTUBE 1/2x1,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
RECTUBE 1x2,ALUMINUM,3,0,0,0,0,0,0,0,0,3,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
RECTUBE 1x3,ALUMINUM,0,12,49,0,0,0,0,0,0,61,5,3,1.732050808,3,1.88,1.07,18,0,0.012,50,-10,25,0.0,
RECTUBE 1-1/2x1-1/2,ALUMINUM,8,0,0,0,0,0,0,0,0,8,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
RECTUBE 1x4,ALUMINUM,2,11,4,0,0,0,0,0,0,17,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
RECTUBE 1-3/4x3,ALUMINUM,0,0,14,0,0,0,0,0,0,14,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
RECTUBE 1-3/4x4,ALUMINUM,11,3,0,0,0,0,0,0,0,14,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
SPLIT TUBE 4",ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
SPLIT COVER 4",ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
OB 1-3/4X3,ALUMINUM,0,13,0,0,0,0,0,0,0,13,3,5,2.236067977,4,1.88,1.05,19,0,0.012,40,-12,15,0.0,
OB 1-3/4X4,ALUMINUM,30,0,7,0,0,0,0,0,0,37,3,5,2.236067977,4,1.88,1.05,19,0,0.012,40,-12,15,0.0,
SNAP ON BASE,ALUMINUM,29,34,12,0,0,0,0,0,0,75,5,3,1.732050808,3,1.88,1.07,18,0,0.012,50,-10,25,0.0,
SNAP ON COVER,ALUMINUM,28,34,12,0,0,0,0,0,0,74,5,3,1.732050808,3,1.88,1.07,18,0,0.012,50,-10,25,0.0,
ED BOTTOM RAIL,ALUMINUM,0,3,1,0,0,0,0,0,0,4,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
ED TOP RAIL,ALUMINUM,0,1,1,0,0,0,0,0,0,2,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
ED STILE W/ GROOVE,ALUMINUM,0,0,1,0,0,0,0,0,0,1,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
ED BULLNOSE,ALUMINUM,0,0,1,0,0,0,0,0,0,1,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
ED THRESHOLD 4",ALUMINUM,1,1,0,0,0,0,0,0,0,2,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
ED PUSH BAR 1/2,ALUMINUM,0,2,1,0,0,0,0,0,0,3,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
FD FRAMELESS DOOR 100,ALUMINUM,1,0,1,0,0,0,0,0,0,2,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
SF 101 SW SCREEN FRAME,ALUMINUM,10,7,6,0,0,0,0,0,0,23,3,5,2.236067977,4,1.88,1.05,19,0,0.012,40,-12,15,0.0,
SF 102 SW SCREEN CLIP,ALUMINUM,15,32,6,0,0,0,0,0,0,53,3,5,2.236067977,4,1.88,1.05,19,0,0.012,40,-12,15,0.0,
SF 106 SW CROSS BAR ONLY,ALUMINUM,4,7,0,0,0,0,0,0,0,11,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
SF 101 PB SW SCREEN PBAR,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
BUS BODY SKIN,ALUMINUM,5,0,0,0,0,0,0,0,0,5,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
JW6105 BUMPER,ALUMINUM,16,2,23,0,0,0,0,0,0,41,4,7,2.645751311,5,1.88,1,33,0,0.012,50,-24,20,0.0,
YC PANEL FRAME VENT,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
YC PANEL FRAME BIG,ALUMINUM,6,10,18,0,0,0,0,0,0,34,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
YC PRIMETER BIG,ALUMINUM,0,0,2,0,0,0,0,0,0,2,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
YC PERIMETER,ALUMINUM,0,10,28,0,0,0,0,0,0,38,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
YC CENTER FRAME,ALUMINUM,20,4,0,0,0,0,0,0,0,24,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
YC MOULDING/COVER,ALUMINUM,15,18,16,0,0,0,0,0,0,49,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
YC CORNER STAKE 3"x1/4,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
YC CORNER STAKE 2"x1/4,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
YC MULLION,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
SD LOCKSTILE,ALUMINUM,17,13,25,0,0,0,0,0,0,55,4,5,2.236067977,4,1.88,1,24,0,0.012,50,-16,20,0.0,
SD INTERLOCKER,ALUMINUM,19,11,1,0,0,0,0,0,0,31,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
SD ASTRAGAL,ALUMINUM,25,16,10,0,0,0,0,0,0,51,4,5,2.236067977,4,1.88,1,24,0,0.012,50,-16,20,0.0,
SD FIXED INTERLOCKER,ALUMINUM,0,0,1,0,0,0,0,0,0,1,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
SD DOUBLE SILL,ALUMINUM,13,11,18,0,0,0,0,0,0,42,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
SD DOUBLE HEAD,ALUMINUM,15,1,16,0,0,0,0,0,0,32,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
SD TOP RAIL,ALUMINUM,11,15,4,0,0,0,0,0,0,30,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
SD DOUBLE JAMB,ALUMINUM,18,8,28,0,0,0,0,0,0,54,4,5,2.236067977,4,1.88,1,24,0,0.012,50,-16,20,0.0,
SD FIXED STILE,ALUMINUM,8,23,40,0,0,0,0,0,0,71,5,3,1.732050808,3,1.88,1.07,18,0,0.012,50,-10,25,0.0,
SD SCREEN HEAD,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
SD SCREEN SILL,ALUMINUM,57,0,29,0,0,0,0,0,0,86,7,3,1.732050808,3,1.88,1.03,24,0,0.012,60,-14,35,0.0,
SD SINGLE ASTRAGAL,ALUMINUM,0,0,14,0,0,0,0,0,0,14,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
SD SINGLE HEAD,ALUMINUM,0,0,24,0,0,0,0,0,0,24,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
SD SINGLE JAMB,ALUMINUM,6,7,4,0,0,0,0,0,0,17,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
SD SINGLE SILL,ALUMINUM,8,6,3,0,0,0,0,0,0,17,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
SD FLAT SILL,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
SD DOUBLE SILL W/ SCREEN,ALUMINUM,7,20,9,0,0,0,0,0,0,36,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
SD DOUBLE HEAD W/ SCREEN,ALUMINUM,30,10,14,0,0,0,0,0,0,54,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
SD DOUBLE JAMB W/ SCREEN,ALUMINUM,32,10,2,0,0,0,0,0,0,44,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
DOUBLE FLAT SILL,ALUMINUM,9,6,4,0,0,0,0,0,0,19,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
SD BOTTOM RAIL,ALUMINUM,11,3,20,0,0,0,0,0,0,34,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
SD GLASS DIVIDER,ALUMINUM,4,11,0,0,0,0,0,0,0,15,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
SD SCREEN FRAME YS 221,ALUMINUM,16,1,1,0,0,0,0,0,0,18,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
SD SCREEN ASTRAGAL,ALUMINUM,2,9,14,0,0,0,0,0,0,25,3,5,2.236067977,4,1.88,1.05,19,0,0.012,40,-12,15,0.0,
SD SCREEN DIVIDER,ALUMINUM,5,7,7,0,0,0,0,0,0,19,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
SD SCREEN JAMB,ALUMINUM,0,0,10,0,0,0,0,0,0,10,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
